header,"break","case","catch","continue","debugger","default","delete","do","else","finally","for","function","if","in","instanceof","new","return","switch","this","throw","try","typeof","var","const","void","while","with","document","MY_MJSA_THIS","!","!=","!==","%","%=","&","&&","&=","(",")","*","*=","+","++","+=",",","-","--","-=",".","/","/=",":",";","<","<<","<<=","<=","=","==","===",">",">=",">>",">>=",">>>",">>>=","?","[","]","^","^=","{","|","|=","||","}","~","InitVariableWithFunctionExpression","InitVariableWithExpression","InitVariableWithThisExpression","InitVariableWithUnaryExpression","InitVariableWithBinaryExpression","InitVariableWithCallExpression","InitVariableWithLogicalExpression","AssignWithFuncCall","AssignWithLogicalExpression","AssignWithBitOperation","AssignWithThisExpression","FunctionObfuscation","StringConcatation","ArrayConcatation","DecodeString_OR_DOM_FunctionCall","FuncCallOnBinaryExpr","FuncCallOnUnaryExpr","FuncCallOnStringVariable","FuncCallOnCallExpr","FuncCallOnNonLocalArray","FuncCallOnUnkonwnArrayIndex","HtmlCommentInScriptBlock","AssigningToThis","ConditionalCompilationCode","DotNotationInFunctionName","LongArray","LongExpression","in_test","in_main","in_if","in_loop","in_function","in_try","in_switch","in_return","in_file","TokenPerFile","CommentPerFile"
"/Users/hongtao/javascript-malware-collection/2015//20151217_5eb5042ab7c3c1670eea9ecfd4e17585.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012845215157353886,0,0,0,0,0,0.00012845215157353886,0,0.00796403339755941,0.00796403339755941,0,0,0.0011560693641618498,0.0002569043031470777,0.00012845215157353886,0.10944123314065511,0.0007707129094412332,0,0,0.002825947334617855,0.0007707129094412332,0,0,0.14566473988439307,0,0,0,0,0.14373795761078997,0,0,0.00012845215157353886,0.00012845215157353886,0,0,0,0,0,0.2873474630700064,0.2873474630700064,0,0,0.0020552344251766217,0,0,0,0.0020552344251766217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.593362296770726,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_5fb560ce044e0d2735045451423eb0a6.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012924906294429367,0,0,0,0,0,0.00012924906294429367,0,0.008013441902546206,0.008013441902546206,0,0,0.0011632415664986429,0.00025849812588858733,0.00012924906294429367,0.10482099004782215,0.0006462453147214682,0,0,0.0028434793847744604,0.0007754943776657619,0,0,0.1464391883158847,0,0,0,0,0.1445004523717203,0,0,0.00012924906294429367,0.00012924906294429367,0,0,0,0,0,0.28887165568049633,0.28887165568049633,0,0,0.0020679850071086987,0,0,0,0.0020679850071086987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5939051918735891,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_602f5d2b1c97def5e76e090c2ef98783.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012838618564642445,0,0,0,0,0,0.00012838618564642445,0,0.007959943510078315,0.007959943510078315,0,0,0.00115547567081782,0.0002567723712928489,0.00012838618564642445,0.11015534728463218,0.0005135447425856978,0,0,0.002824496084221338,0.0007703171138785466,0,0,0.14558993452304533,0,0,0,0,0.14366414173834896,0,0,0.00012838618564642445,0.00012838618564642445,0,0,0,0,0,0.2871998972910515,0.2871998972910515,0,0,0.002054178970342791,0,0,0,0.002054178970342791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5931725649859066,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_613f68259d1867443c91643e21f1bc55.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012833675564681725,0,0,0,0,0,0.00012833675564681725,0,0.00795687885010267,0.00795687885010267,0,0,0.0011550308008213552,0.0002566735112936345,0.00012833675564681725,0.11036960985626283,0.0006416837782340862,0,0,0.0028234086242299797,0.0007700205338809035,0,0,0.14553388090349076,0,0,0,0,0.1436088295687885,0,0,0.00012833675564681725,0.00012833675564681725,0,0,0,0,0,0.2870893223819302,0.2870893223819302,0,0,0.002053388090349076,0,0,0,0.002053388090349076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5931043734907432,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_62409c104b51c7ec240249e7029b1f9b.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.0001278118609406953,0,0,0,0,0,0.0001278118609406953,0,0.007924335378323108,0.007924335378323108,0,0,0.0011503067484662577,0.0002556237218813906,0.0001278118609406953,0.11324130879345604,0.0006390593047034765,0,0,0.0028118609406952966,0.0007668711656441718,0,0,0.14506646216768918,0,0,0,0,0.14314928425357873,0,0,0.0001278118609406953,0.0001278118609406953,0,0,0,0,0,0.2861707566462168,0.2861707566462168,0,0,0.002044989775051125,0,0,0,0.002044989775051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5927491103202847,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_64e40b134204f34a424c43f43361dd28.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012853470437017994,0,0,0,0,0,0.00012853470437017994,0,0.007969151670951156,0.007969151670951156,0,0,0.0011568123393316196,0.0002570694087403599,0.00012853470437017994,0.1083547557840617,0.0005141388174807198,0,0,0.002827763496143959,0.0007712082262210797,0,0,0.14588688946015424,0,0,0,0,0.14395886889460155,0,0,0.00012853470437017994,0.00012853470437017994,0,0,0,0,0,0.2877892030848329,0.2877892030848329,0,0,0.002056555269922879,0,0,0,0.002056555269922879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.593525824964132,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_65a96476703304de6f27c1191434ca07.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012799180852425445,0,0,0,0,0,0.00012799180852425445,0,0.007935492128503776,0.007935492128503776,0,0,0.00115192627671829,0.0002559836170485089,0.00012799180852425445,0.11276078330986816,0.0006399590426212722,0,0,0.002815819787533598,0.0007679508511455267,0,0,0.14514271086650454,0,0,0,0,0.14322283373864073,0,0,0.00012799180852425445,0.00012799180852425445,0,0,0,0,0,0.2863176756687572,0.2863176756687572,0,0,0.0020478689363880712,0,0,0,0.0020478689363880712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5927031361368497,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_66462294eeeb1651df824ba30e21dce0.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012913223140495868,0,0,0,0,0,0.00012913223140495868,0,0.008006198347107437,0.008006198347107437,0,0,0.0011621900826446281,0.00025826446280991736,0.00012913223140495868,0.10408057851239669,0.0006456611570247934,0,0,0.002840909090909091,0.0007747933884297521,0,0,0.1465650826446281,0,0,0,0,0.1446280991735537,0,0,0.00012913223140495868,0.00012913223140495868,0,0,0,0,0,0.2891270661157025,0.2891270661157025,0,0,0.002066115702479339,0,0,0,0.002066115702479339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5940884476534296,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_6673aa7e02ff247db4a24155cd7bcccb.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012858428700012858,0,0,0,0,0,0.00012858428700012858,0,0.007972225794007972,0.007972225794007972,0,0,0.0011572585830011573,0.00025716857400025716,0.00012858428700012858,0.10801080108010801,0.0005143371480005143,0,0,0.002828854314002829,0.0007715057220007715,0,0,0.14594316574514593,0,0,0,0,0.14401440144014402,0,0,0.00012858428700012858,0.00012858428700012858,0,0,0,0,0,0.2879002185932879,0.2879002185932879,0,0,0.0020573485920020573,0,0,0,0.0020573485920020573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5936027993360549,0
"/Users/hongtao/javascript-malware-collection/2015//20151217_6789b53a3d1462d5990355ac2022c046.js",0.0625,0,0,0,0,0,0,0,0,0,0,0.34375,0.09375,0,0,0.03125,0.25,0,0,0,0,0,0.15625,0,0,0.0625,0,0,0,0.00012866700977869275,0,0,0,0,0,0.00012866700977869275,0,0.00797735460627895,0.00797735460627895,0,0,0.0011580030880082347,0.0002573340195573855,0.00012866700977869275,0.10730828615542974,0.0006433350488934637,0,0,0.0028306742151312406,0.0007720020586721565,0,0,0.14603705609881626,0,0,0,0,0.14410705095213588,0,0,0.00012866700977869275,0.00012866700977869275,0,0,0,0,0,0.28808543489449306,0.28808543489449306,0,0,0.002058672156459084,0,0,0,0.002058672156459084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,0,0.3333333333333333,0,0,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.46875,0.03125,0.1875,0.28125,0,0,0.03125,0,0.5935886499348988,0
