break,case,catch,continue,debugger,default,delete,do,else,finally,for,function,if,in,instanceof,new,return,switch,this,throw,try,typeof,var,const,void,while,with,document,MY_MJSA_THIS,!,!=,!==,%,%=,&,&&,&=,(,),*,*=,+,++,+=,",",-,--,-=,.,/,/=,:,;,<,<<,<<=,<=,=,==,===,>,>=,>>,>>=,>>>,?,[,],^,^=,{,|,|=,||,},~,InitVariable,AssignWithFuncCall,AssignWithBitOperation,PreFunctionObfuscation,StringConcatation,ArrayConcatation,MaliciousFunctionCall,FuncCallOnBinaryExpr,FuncCallOnUnaryExpr,FuncCallOnStringVariable,FuncCallOnCallExpr,NonLocalArrayAccess,HtmlCommentInScriptBlock,UsingKeywordThis,ConditionalCompilationCode,DotNotationInFunctionName,LongArray,LongExpression,in_test,in_main,in_if,in_loop,in_function,in_try,in_switch,in_return,in_file,TokenPerFile,cluster
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.002188183807439825,0.002188183807439825,0.0,0,0.4857768052516411,0.0,0.0,0.25164113785557984,0.0,0,0,0.0,0.0,0,0,0.00437636761487965,0.0,0,0,0,0.2538293216630197,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.4065836298932384,83
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0022172949002217295,0.0022172949002217295,0.0,0,0.4656319290465632,0.0,0.0,0.2616407982261641,0.0,0,0,0.0,0.0,0,0,0.004434589800443459,0.0,0,0,0,0.2638580931263858,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.4066726780883679,69
0,0,0.0,0,0,0,0,0,0.05882352941176471,0,0.05882352941176471,0.0,0.05882352941176471,0,0,0.05882352941176471,0.0,0,0.05882352941176471,0,0.0,0,0.7058823529411765,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.1125,0.1125,0.0,0,0.075,0.0,0.0125,0.0125,0.0,0,0,0.075,0.0,0,0,0.25,0.0125,0,0,0,0.2,0.0125,0.0,0,0,0,0,0,0,0.025,0.025,0.0,0,0.0375,0.0,0,0,0.0375,0,0.5,0.0,0,0.0,0.5,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.05328836424957842,2
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0023696682464454982,0.0023696682464454982,0.0,0,0.504739336492891,0.0,0.0,0.2417061611374408,0.0,0,0,0.0,0.0,0,0,0.0047393364928909965,0.0,0,0,0,0.24407582938388625,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.39587242026266417,85
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.002304147465437788,0.002304147465437788,0.0,0,0.5,0.0,0.0,0.24423963133640555,0.0,0,0,0.0,0.0,0,0,0.004608294930875576,0.0,0,0,0,0.2465437788018433,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.3994477680625863,85
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0021978021978021982,0.0021978021978021982,0.0,0,0.4879120879120879,0.0,0.0,0.2505494505494505,0.0,0,0,0.0,0.0,0,0,0.0043956043956043965,0.0,0,0,0,0.25274725274725274,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.40770609318996415,83
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.002320185614849188,0.002320185614849188,0.0,0,0.4872389791183295,0.0,0.0,0.2505800464037123,0.0,0,0,0.0,0.0,0,0,0.004640371229698376,0.0,0,0,0,0.2529002320185615,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.3954128440366973,83
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0022371364653243847,0.0022371364653243847,0.0,0,0.4742729306487696,0.0,0.0,0.25727069351230425,0.0,0,0,0.0,0.0,0,0,0.0044742729306487695,0.0,0,0,0,0.2595078299776286,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.4030658250676285,83
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.002202643171806168,0.002202643171806168,0.0,0,0.4779735682819383,0.0,0.0,0.2555066079295154,0.0,0,0,0.0,0.0,0,0,0.004405286343612335,0.0,0,0,0,0.2577092511013216,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.4053571428571429,83
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.002267573696145125,0.002267573696145125,0.0,0,0.4625850340136055,0.0,0.0,0.26303854875283444,0.0,0,0,0.0,0.0,0,0,0.00453514739229025,0.0,0,0,0,0.2653061224489796,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.40054495912806537,69
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.002183406113537118,0.002183406113537118,0.0,0,0.4694323144104803,0.0,0.0,0.259825327510917,0.0,0,0,0.0,0.0,0,0,0.004366812227074236,0.0,0,0,0,0.2620087336244541,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.4049513704686119,69
0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0005694760820045558,0.0005694760820045558,0.0,0,0.4971526195899772,0.0,0.0,0.25,0.0,0,0,0.0,0.0,0,0,0.0011389521640091116,0.0,0,0,0,0.2505694760820046,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0.0,0,0.25,0.25,0,0.0,0,0,0.25,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.3902222222222223,83
