header,"break","case","catch","continue","debugger","default","delete","do","else","finally","for","function","if","in","instanceof","new","return","switch","this","throw","try","typeof","var","const","void","while","with","document","MY_MJSA_THIS","!","!=","!==","%","%=","&","&&","&=","(",")","*","*=","+","++","+=",",","-","--","-=",".","/","/=",":",";","<","<<","<<=","<=","=","==","===",">",">=",">>",">>=",">>>","?","[","]","^","^=","{","|","|=","||","}","~","InitVariableWithFunctionExpression","InitVariableWithExpression","InitVariableWithUnaryExpression","InitVariableWithBinaryExpression","InitVariableWithCallExpression","InitVariableWithLogicalExpression","AssignWithFuncCall","AssignWithLogicalExpression","AssignWithBitOperation","FunctionObfuscation","StringConcatation","ArrayConcatation","DecodeString_OR_DOM_FunctionCall","FuncCallOnBinaryExpr","FuncCallOnUnaryExpr","FuncCallOnStringVariable","FuncCallOnCallExpr","NonLocalArrayAccess","HtmlCommentInScriptBlock","AssigningToThis","ConditionalCompilationCode","DotNotationInFunctionName","LongArray","LongExpression","in_test","in_main","in_if","in_loop","in_function","in_try","in_switch","in_return","in_file","TokenPerFile","CommentPerFile"
"/Users/hongtao/javascript-malware-collection/2017//20170128_b3e5c2afec9a727eb35b69af3b097033.js",0.05128205128205128,0.05128205128205128,0,0,0,0,0,0,0.00641025641025641,0,0,0.05448717948717949,0.1762820512820513,0,0,0.003205128205128205,0.05448717948717949,0.016025641025641024,0,0,0,0.016025641025641024,0.5705128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10905349794238683,0.10905349794238683,0,0,0.05864197530864197,0,0,0.00205761316872428,0,0,0,0,0,0,0.01646090534979424,0.25925925925925924,0.00205761316872428,0,0,0,0.2242798353909465,0.0257201646090535,0.02880658436213992,0,0,0,0,0,0,0.00102880658436214,0.00102880658436214,0,0,0.08127572016460906,0,0,0,0.08127572016460906,0,0,0,0,0.36666666666666664,0.016666666666666666,0,0,0,0,0,0.6166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19230769230769232,0.4198717948717949,0,0,0,0.38782051282051283,0,0,0.1699659893607744,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_27d82dc4bb8bcaf513c17c3acddba8f5.js",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005016722408026756,0.005016722408026756,0,0,0.039576365663322184,0,0,0.5490523968784838,0,0,0,0,0,0,0,0.005295429208472687,0,0,0,0,0.005295429208472687,0,0,0,0,0,0,0,0,0.19509476031215162,0.19509476031215162,0,0,0.0002787068004459309,0,0,0,0.0002787068004459309,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.20663782614573475,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_5e933ab92742aef1e221c36aa3e7dd4e.js",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004828326180257511,0.004828326180257511,0,0,0.039967811158798286,0,0,0.5490879828326181,0,0,0,0,0,0,0,0.00509656652360515,0,0,0,0,0.00509656652360515,0,0,0,0,0,0,0,0,0.19527896995708155,0.19527896995708155,0,0,0.0002682403433476395,0,0,0,0.0002682403433476395,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.20555969062489887,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_6ba672855e27d6ef3153a1482f239ac1.js",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004979253112033195,0.004979253112033195,0,0,0.039557399723374825,0,0,0.5499308437067774,0,0,0,0,0,0,0,0.0052558782849239285,0,0,0,0,0.0052558782849239285,0,0,0,0,0,0,0,0,0.19474412171507607,0.19474412171507607,0,0,0.00027662517289073305,0,0,0,0.00027662517289073305,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.20248422712933753,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_7ab90b1507bc742c3f211f35b214d9f6.js",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004382761139517896,0.004382761139517896,0,0,0.04041879717555393,0,0,0.553445337229121,0,0,0,0,0,0,0,0.004626247869491113,0,0,0,0,0.004626247869491113,0,0,0,0,0,0,0,0,0.1938154370586803,0.1938154370586803,0,0,0.00024348672997321646,0,0,0,0.00024348672997321646,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.21308684018486987,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_887c49ffda46c61371b2388b05629c69.js",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005037783375314861,0.005037783375314861,0,0,0.03946263643996641,0,0,0.5496781416176882,0,0,0,0,0,0,0,0.005317660229499021,0,0,0,0,0.005317660229499021,0,0,0,0,0,0,0,0,0.19479429051217464,0.19479429051217464,0,0,0.000279876854184159,0,0,0,0.000279876854184159,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.20149550026469032,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_a051ab06ecb03e4e926aef88b0dc70c9.js",0,0,0,0,0,0,0,0,0,0,0,0.49947423764458465,0,0,0,0.0005257623554153522,0.49947423764458465,0,0,0,0,0,0.0005257623554153522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14303968731208658,0.14303968731208658,0,0,0,0,0,0.14236319903788333,0,0,0,0.0000751653638003608,0,0,0,0.214371617558629,0,0,0,0,0.07148226097414312,0,0,0,0,0,0,0,0,0.07140709561034275,0.07140709561034275,0,0,0.07140709561034275,0,0,0,0.07140709561034275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3741691604977162,0
"/Users/hongtao/javascript-malware-collection/2017//20170130_f04214d83ada1d982d669a1e593412af.js",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048205677557579,0.0048205677557579,0,0,0.039903588644884844,0,0,0.549812533476165,0,0,0,0,0,0,0,0.005088377075522228,0,0,0,0,0.005088377075522228,0,0,0,0,0,0,0,0,0.19496518478843064,0.19496518478843064,0,0,0.0002678093197643278,0,0,0,0.0002678093197643278,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.20385021941766232,0
"/Users/hongtao/javascript-malware-collection/2017//20170202_fd62ce23cc6f4d5aa5f37369d7be95af.js",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031551596139569415,0.0031551596139569415,0,0,0.04120267260579064,0,0,0.552709725315516,0,0,0,0,0,0,0,0.0033407572383073497,0,0,0,0,0.0033407572383073497,0,0,0,0,0,0,0,0,0.196362286562732,0.196362286562732,0,0,0.0001855976243504083,0,0,0,0.0001855976243504083,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0.14717108217332733,0
"/Users/hongtao/javascript-malware-collection/2017//20170203_671786823d3f486e8e6c55a5371cfe3b.js",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069906631553747,0.004069906631553747,0,0,0.05530284893464209,0,0,0.41129997605937274,0,0,0,0,0,0,0,0.004309312903998085,0,0,0,0,0.004309312903998085,0,0,0,0,0,0,0,0,0.2580799616949964,0.2580799616949964,0,0,0.00023940627244433804,0,0,0,0.00023940627244433804,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0.12766482525580425,0
